iter	Passed	Remaining
580	3489	2516
581	3492	2508
582	3500	2503
583	3504	2496
584	3507	2488
585	3513	2482
586	3517	2474
587	3520	2466
588	3525	2459
589	3531	2454
590	3535	2446
591	3542	2441
592	3549	2436
593	3553	2428
594	3559	2422
595	3562	2415
596	3569	2409
597	3572	2401
598	3577	2394
599	3581	2387
600	3586	2380
601	3595	2377
602	3600	2370
603	3605	2363
604	3608	2356
605	3614	2350
606	3618	2342
607	3623	2336
608	3627	2329
609	3632	2322
610	3636	2315
611	3641	2308
612	3646	2302
613	3651	2295
614	3656	2288
615	3660	2281
616	3664	2274
617	3669	2268
618	3673	2260
619	3676	2253
620	3681	2246
621	3684	2238
622	3688	2232
623	3698	2228
624	3703	2222
625	3709	2216
626	3713	2209
627	3718	2202
628	3722	2195
629	3728	2189
630	3732	2182
631	3736	2175
632	3741	2169
633	3745	2162
634	3750	2155
635	3755	2149
636	3759	2142
637	3765	2136
638	3768	2129
639	3773	2122
640	3780	2117
641	3783	2110
642	3789	2104
643	3793	2097
644	3796	2089
645	3801	2083
646	3805	2076
647	3810	2069
648	3813	2062
649	3818	2056
650	3822	2049
651	3826	2042
652	3832	2036
653	3835	2029
654	3839	2022
655	3844	2016
656	3850	2010
657	3857	2004
658	3864	1999
659	3868	1992
660	3872	1985
661	3876	1979
662	3879	1972
663	3883	1964
664	3886	1957
665	3891	1951
666	3894	1944
667	3899	1937
668	3903	1931
669	3907	1924
670	3910	1917
671	3914	1910
672	3921	1905
673	3924	1898
674	3927	1891
675	3931	1884
676	3936	1877
677	3939	1870
678	3943	1864
679	3947	1857
680	3951	1850
681	3954	1843
682	3957	1836
683	3961	1830
684	3965	1823
685	3971	1817
686	3974	1810
687	3978	1804
688	3981	1796
689	3985	1790
690	3989	1783
691	3993	1777
692	3997	1771
693	4001	1764
694	4005	1757
695	4009	1751
696	4013	1744
697	4019	1738
698	4023	1732
699	4027	1726
700	4031	1719
701	4035	1713
702	4040	1706
703	4045	1700
704	4048	1694
705	4053	1687
706	4058	1681
707	4067	1677
708	4071	1670
709	4075	1664
710	4085	1660
711	4089	1654
712	4092	1647
713	4100	1642
714	4107	1637
715	4111	1630
716	4116	1624
717	4119	1618
718	4122	1611
719	4126	1604
720	4130	1598
721	4133	1591
722	4136	1584
723	4144	1579
724	4147	1573
725	4152	1567
726	4156	1560
727	4159	1554
728	4163	1547
729	4166	1541
730	4173	1535
731	4177	1529
732	4184	1524
733	4189	1518
734	4193	1511
735	4197	1505
736	4206	1501
737	4211	1495
738	4215	1488
739	4221	1483
740	4240	1482
741	4246	1476
742	4251	1470
743	4254	1464
744	4259	1457
745	4262	1451
746	4268	1445
747	4272	1439
748	4275	1432
749	4278	1426
750	4284	1420
751	4288	1414
752	4292	1407
753	4295	1401
754	4299	1395
755	4303	1388
756	4306	1382
757	4311	1376
758	4315	1370
759	4320	1364
760	4323	1357
761	4327	1351
762	4330	1345
763	4334	1339
764	4338	1332
765	4342	1326
766	4345	1320
767	4348	1313
768	4351	1307
769	4355	1301
770	4360	1295
771	4364	1288
772	4369	1283
773	4373	1276
774	4376	1270
775	4384	1265
776	4388	1259
777	4395	1254
778	4399	1248
779	4402	1241
780	4405	1235
781	4410	1229
782	4416	1224
783	4420	1217
784	4423	1211
785	4426	1205
786	4432	1199
787	4436	1193
788	4443	1188
789	4447	1182
790	4451	1176
791	4454	1169
792	4459	1164
793	4463	1157
794	4468	1152
795	4472	1146
796	4476	1140
797	4479	1133
798	4482	1127
799	4486	1121
800	4494	1116
801	4499	1110
802	4502	1104
803	4507	1098
804	4511	1092
805	4514	1086
806	4518	1080
807	4522	1074
808	4526	1068
809	4530	1062
810	4534	1056
811	4539	1050
812	4542	1044
813	4546	1038
814	4549	1032
815	4553	1026
816	4558	1021
817	4567	1016
818	4571	1010
819	4578	1004
820	4581	998
821	4585	992
822	4594	988
823	4598	982
824	4604	976
825	4611	971
826	4625	967
827	4633	962
828	4636	956
829	4642	950
830	4647	945
831	4665	942
832	4671	936
833	4674	930
834	4677	924
835	4695	921
836	4698	915
837	4704	909
838	4708	903
839	4713	897
840	4719	892
841	4722	886
842	4726	880
843	4729	874
844	4736	868
845	4739	862
846	4742	856
847	4746	850
848	4751	845
849	4754	839
850	4757	832
851	4761	827
852	4765	821
853	4768	815
854	4772	809
855	4776	803
856	4779	797
857	4782	791
858	4786	785
859	4789	779
860	4794	774
861	4798	768
862	4803	762
863	4808	756
864	4812	751
865	4815	745
866	4822	739
867	4825	733
868	4828	727
869	4832	722
870	4834	716
871	4838	710
872	4841	704
873	4845	698
874	4848	692
875	4853	686
876	4856	681
877	4861	675
878	4865	669
879	4869	663
880	4872	658
881	4877	652
882	4883	647
883	4887	641
884	4890	635
885	4894	629
886	4899	624
887	4903	618
888	4906	612
889	4915	607
890	4921	602
891	4927	596
892	4931	590
893	4936	585
894	4944	580
895	4947	574
896	4953	568
897	4960	563
898	4966	557
899	4974	552
900	4978	547
901	4982	541
902	4987	535
903	4991	530
904	4998	524
905	5002	519
906	5009	513
907	5013	508
908	5017	502
909	5021	496
910	5025	490
911	5029	485
912	5032	479
913	5037	474
914	5043	468
915	5047	462
916	5052	457
917	5057	451
918	5060	446
919	5065	440
920	5069	434
921	5073	429
922	5086	424
923	5096	419
924	5104	413
925	5108	408
926	5113	402
927	5117	397
928	5121	391
929	5125	385
930	5129	380
931	5143	375
932	5147	369
933	5151	364
934	5158	358
935	5163	353
936	5169	347
937	5176	342
938	5183	336
939	5187	331
940	5192	325
941	5199	320
942	5204	314
943	5209	309
944	5215	303
945	5220	297
946	5223	292
947	5227	286
948	5233	281
949	5236	275
950	5241	270
951	5244	264
952	5247	258
953	5251	253
954	5254	247
955	5260	242
956	5263	236
957	5266	230
958	5269	225
959	5278	219
960	5281	214
961	5285	208
962	5289	203
963	5293	197
964	5298	192
965	5301	186
966	5308	181
967	5313	175
968	5316	170
969	5320	164
970	5324	159
971	5328	153
972	5331	147
973	5336	142
974	5340	136
975	5344	131
976	5349	125
977	5353	120
978	5356	114
979	5360	109
980	5370	104
981	5376	98
982	5393	93
983	5400	87
984	5404	82
985	5408	76
986	5413	71
987	5417	65
988	5421	60
989	5428	54
990	5431	49
991	5434	43
992	5439	38
993	5444	32
994	5447	27
995	5451	21
996	5456	16
997	5459	10
998	5462	5
999	5466	0
